"","eventID","Year","Month","RESET_score","date"
"1","Ransome_FFS12_FFS12A_100101_130101","2010","Jan",0.08,2010-01-01
"2","Ransome_FFS34_FFS34A_100101_130101","2010","Jan",0.1,2010-01-01
"3","Ransome_HAW22_HAW22B_100101_130101","2010","Jan",0.18,2010-01-01
"4","Ransome_HAW24_HAW24A_100101_130101","2010","Jan",0.1,2010-01-01
"5","Ransome_HAW24_HAW24B_100101_130101","2010","Jan",0.1,2010-01-01
"6","Ransome_HAW24_HAW24C_100101_130101","2010","Jan",0.1,2010-01-01
"7","Ransome_KAU02_KAU02A_100101_130101","2010","Jan",0.02,2010-01-01
"8","Ransome_KAU06_KAU06A_100101_130101","2010","Jan",0.16,2010-01-01
"9","Ransome_KAU08_KAU08A_100101_130101","2010","Jan",0.16,2010-01-01
"10","Ransome_KUR12_KUR12A_100101_130101","2010","Jan",0.02,2010-01-01
"11","Ransome_KUR33_KUR33A_100101_130101","2010","Jan",0.02,2010-01-01
"12","Ransome_LIS10_LIS10B_100101_130101","2010","Jan",0,2010-01-01
"13","Ransome_LIS14_LIS14B_100101_130101","2010","Jan",0,2010-01-01
"14","Ransome_MAI01_MAI01B_100101_130101","2010","Jan",0.15,2010-01-01
"15","Ransome_OAH12_OAH12B_100101_2013","2010","Jan",0.06,2010-01-01
"16","Ransome_PHR26_PHR26A_100101_130101","2010","Jan",0.04,2010-01-01
"17","Ransome_PHR33_PHR33A_100101_130101","2010","Jan",0.04,2010-01-01
"18","Ransome_PHR33_PHR33B_100101_130101","2010","Jan",0.04,2010-01-01
"19","Ransome_PHR33_PHR33C_100101_130101","2010","Jan",0.04,2010-01-01
"20","Ransome_PHR42_PHR42A_100101_130101","2010","Jan",0.03,2010-01-01
"21","Ransome_FFS12_FFS12A_100101_130101","2010","Feb",0.04,2010-02-01
"22","Ransome_FFS34_FFS34A_100101_130101","2010","Feb",0.06,2010-02-01
"23","Ransome_HAW22_HAW22B_100101_130101","2010","Feb",0.17,2010-02-01
"24","Ransome_HAW24_HAW24A_100101_130101","2010","Feb",0.1,2010-02-01
"25","Ransome_HAW24_HAW24B_100101_130101","2010","Feb",0.1,2010-02-01
"26","Ransome_HAW24_HAW24C_100101_130101","2010","Feb",0.1,2010-02-01
"27","Ransome_KAU02_KAU02A_100101_130101","2010","Feb",0.01,2010-02-01
"28","Ransome_KAU06_KAU06A_100101_130101","2010","Feb",0.15,2010-02-01
"29","Ransome_KAU08_KAU08A_100101_130101","2010","Feb",0.15,2010-02-01
"30","Ransome_KUR12_KUR12A_100101_130101","2010","Feb",0.02,2010-02-01
"31","Ransome_KUR33_KUR33A_100101_130101","2010","Feb",0.03,2010-02-01
"32","Ransome_LIS10_LIS10B_100101_130101","2010","Feb",0,2010-02-01
"33","Ransome_LIS14_LIS14B_100101_130101","2010","Feb",0,2010-02-01
"34","Ransome_MAI01_MAI01B_100101_130101","2010","Feb",0.15,2010-02-01
"35","Ransome_OAH12_OAH12B_100101_2013","2010","Feb",0.11,2010-02-01
"36","Ransome_PHR26_PHR26A_100101_130101","2010","Feb",0.04,2010-02-01
"37","Ransome_PHR33_PHR33A_100101_130101","2010","Feb",0.12,2010-02-01
"38","Ransome_PHR33_PHR33B_100101_130101","2010","Feb",0.12,2010-02-01
"39","Ransome_PHR33_PHR33C_100101_130101","2010","Feb",0.12,2010-02-01
"40","Ransome_PHR42_PHR42A_100101_130101","2010","Feb",0.04,2010-02-01
"41","Ransome_FFS12_FFS12A_100101_130101","2010","Mar",0,2010-03-01
"42","Ransome_FFS34_FFS34A_100101_130101","2010","Mar",0.01,2010-03-01
"43","Ransome_HAW22_HAW22B_100101_130101","2010","Mar",0.06,2010-03-01
"44","Ransome_HAW24_HAW24A_100101_130101","2010","Mar",0.01,2010-03-01
"45","Ransome_HAW24_HAW24B_100101_130101","2010","Mar",0.01,2010-03-01
"46","Ransome_HAW24_HAW24C_100101_130101","2010","Mar",0.01,2010-03-01
"47","Ransome_KAU02_KAU02A_100101_130101","2010","Mar",0,2010-03-01
"48","Ransome_KAU06_KAU06A_100101_130101","2010","Mar",0.12,2010-03-01
"49","Ransome_KAU08_KAU08A_100101_130101","2010","Mar",0.11,2010-03-01
"50","Ransome_KUR12_KUR12A_100101_130101","2010","Mar",0.08,2010-03-01
"51","Ransome_KUR33_KUR33A_100101_130101","2010","Mar",0.08,2010-03-01
"52","Ransome_LIS10_LIS10B_100101_130101","2010","Mar",0,2010-03-01
"53","Ransome_LIS14_LIS14B_100101_130101","2010","Mar",0,2010-03-01
"54","Ransome_MAI01_MAI01B_100101_130101","2010","Mar",0.09,2010-03-01
"55","Ransome_OAH12_OAH12B_100101_2013","2010","Mar",0.04,2010-03-01
"56","Ransome_PHR26_PHR26A_100101_130101","2010","Mar",0.02,2010-03-01
"57","Ransome_PHR33_PHR33A_100101_130101","2010","Mar",0.01,2010-03-01
"58","Ransome_PHR33_PHR33B_100101_130101","2010","Mar",0.01,2010-03-01
"59","Ransome_PHR33_PHR33C_100101_130101","2010","Mar",0.01,2010-03-01
"60","Ransome_PHR42_PHR42A_100101_130101","2010","Mar",0,2010-03-01
"61","Ransome_FFS12_FFS12A_100101_130101","2010","Apr",0.02,2010-04-01
"62","Ransome_FFS34_FFS34A_100101_130101","2010","Apr",0.04,2010-04-01
"63","Ransome_HAW22_HAW22B_100101_130101","2010","Apr",0.06,2010-04-01
"64","Ransome_HAW24_HAW24A_100101_130101","2010","Apr",0,2010-04-01
"65","Ransome_HAW24_HAW24B_100101_130101","2010","Apr",0,2010-04-01
"66","Ransome_HAW24_HAW24C_100101_130101","2010","Apr",0,2010-04-01
"67","Ransome_KAU02_KAU02A_100101_130101","2010","Apr",0,2010-04-01
"68","Ransome_KAU06_KAU06A_100101_130101","2010","Apr",0.14,2010-04-01
"69","Ransome_KAU08_KAU08A_100101_130101","2010","Apr",0.13,2010-04-01
"70","Ransome_KUR12_KUR12A_100101_130101","2010","Apr",0.03,2010-04-01
"71","Ransome_KUR33_KUR33A_100101_130101","2010","Apr",0.02,2010-04-01
"72","Ransome_LIS10_LIS10B_100101_130101","2010","Apr",0,2010-04-01
"73","Ransome_LIS14_LIS14B_100101_130101","2010","Apr",0.02,2010-04-01
"74","Ransome_MAI01_MAI01B_100101_130101","2010","Apr",0.11,2010-04-01
"75","Ransome_OAH12_OAH12B_100101_2013","2010","Apr",0.06,2010-04-01
