"","RunIdentifier","eventID","principalInvestigator","samplingProtocol","dayDeployed","dayCollected","yearDeployed","yearCollected","lengthDeployment","collectorList","continentOcean","country","county","locality","island","islandGroup","locationID","decimalLatitude","decimalLongitude","DMSLatitude","DMSLongitude","habitat","fullUnit","unitNotes","unitAttachment","unitRetrievalBin","unitRetrievalFilteredWater","unitRetrievalBubbler","bcid","uniqueLatLong","materialSampleID","sampleSizeFractionation","institutionCode","institutionID","datasetName","fractionStorageBuffer","fractionNotes","homogenisation","homogenisationSample","homogenisationMethod","sampleExtractionKitManufacturer","sampleExtractionKit","sampleExtractCleanUp","sampleExtractCleanUpKitManufacturer","sampleExtractCleanUpKit","metabarcodingGeneticMarker","ampliconPrimerForward","ampliconPrimerReverse","ampliconPrimerRef","ampliconPCRTriplicates","ampliconPCRProtocol","ampliconPCRPolymerase","ampliconPCRCycles","ampliconAnnealingTemp","ampliconPCRNotes","ampliconPCRTriplicateMerged","sequencingTriplicates","sample_name"
"CE.01.BS","Run10","Ransome_IND01_CE01_110701_120601","Ransome","ARMS","01/07/2011","01/06/2012",2011,2012,11,"","Pacific","Indonesia","","","","Bali","IND01",-8.12792,114.66807,"08° 07' 40.51"" S","114° 40' 05.05"" E","","","Rev B","Benthos","Mesh crate","Yes","Yes","","-8.12792 114.66807","Ransome_IND01_CE01_110701_120601_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","CE.01.BS"
"CE.02.BS","Run10","Ransome_IND01_CE02_110701_120601","Ransome","ARMS","01/07/2011","01/06/2012",2011,2012,11,"","Pacific","Indonesia","","Close Encounters","","Bali","IND01",-8.12792,114.66807,"08° 07' 40.51"" S","114° 40' 05.05"" E","","","Rev B","Benthos","Mesh crate","Yes","Yes","","-8.12792 114.66807","Ransome_IND01_CE02_110701_120601_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","CE.02.BS"
"CE.03.BS","Run10","Ransome_IND01_CE03_110701_120601","Ransome","ARMS","01/07/2011","01/06/2012",2011,2012,11,"","Pacific","Indonesia","","Close Encounters","","Bali","IND01",-8.12792,114.66807,"08° 07' 40.51"" S","114° 40' 05.05"" E","","","Rev B","Benthos","Mesh crate","Yes","Yes","","-8.12792 114.66807","Ransome_IND01_CE03_110701_120601_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","CE.03.BS"
"GUA.5.BS","Run10","Ransome_GUA05_GUA05B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",2011,2014,36,"Molly Timmers","Pacific","Guam","","Guam","Guam","Mairanas Islands","GUA05",13.57845859,144.8283336,"13° 34' 42.45"" N","144° 49' 42.00"" E","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_05B","13.57845859 144.8283336","Ransome_GUA05_GUA05B_110101_140101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","GUA.5.BS"
"GUA.8A.BS","Run10","Ransome_GUA08_GUA08A_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",2011,2014,36,"Molly Timmers","Pacific","Guam","","Guam","Guam","Mairanas Islands","GUA08",13.48873585,144.8779058,"13° 29' 19.44"" N","144° 52' 40.46"" E","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_08A","13.48873585 144.8779058","Ransome_GUA08_GUA08A_110101_140101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","GUA.8A.BS"
"GUA.8B.BS","Run10","Ransome_GUA08_GUA08B_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",2011,2014,36,"Molly Timmers","Pacific","Guam","","Guam","Guam","Mairanas Islands","GUA08",13.48873585,144.8779058,"13° 29' 19.44"" N","144° 52' 40.46"" E","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_08B","13.48873585 144.8779058","Ransome_GUA08_GUA08B_110101_140101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","GUA.8B.BS"
"GUA.8C.BS","Run10","Ransome_GUA08_GUA08C_110101_140101","Ransome","ARMS","01/01/2011","01/01/2014",2011,2014,36,"Molly Timmers","Pacific","Guam","","Guam","Guam","Mairanas Islands","GUA08",13.48873585,144.8779058,"13° 29' 19.44"" N","144° 52' 40.46"" E","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MI_2014_GUA_08C","13.48873585 144.8779058","Ransome_GUA08_GUA08C_110101_140101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","GUA.8C.BS"
"HAW.22B.BS","Run10","Ransome_HAW22_HAW22B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Hawaii","Hawaii","Hawaiian Islands","HAW22",18.96859682,-155.730732,"18° 58' 06.94"" N","155° 43' 50.63"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_22B","18.96859682 -155.730732","Ransome_HAW22_HAW22B_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","HAW.22B.BS"
"HAW.24A.BS","Run10","Ransome_HAW24_HAW24A_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Hawaii","Hawaii","Hawaiian Islands","HAW24",19.03821667,-155.88255,"19° 02' 17.58"" N","155° 52' 57.18"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_24A","19.03821667 -155.88255","Ransome_HAW24_HAW24A_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","HAW.24A.BS"
"HAW.24B.BS","Run10","Ransome_HAW24_HAW24B_100101_130101","Ransome","ARMS","01/01/2010","01/01/2013",2010,2013,36,"Molly Timmers","Pacific","USA","","Hawaii","Hawaii","Hawaiian Islands","HAW24",19.03821667,-155.88255,"19° 02' 17.58"" N","155° 52' 57.18"" W","forereef","","Rev B","Benthos","Mesh crate","Yes","Yes","https://n2t.net/ark:/21547/FDQ2MHI_2013_HAW_24B","19.03821667 -155.88255","Ransome_HAW24_HAW24B_100101_130101_sessile_DMSO","sessile","ICL","Imperial College London","Ransome ARMS","DMSO","fraction metadata for all samples taken from Casey et al., 2021","Yes","bulk","blender","MoBio","PowerMax Soil DNA Isolation Kit","Yes","MoBio","PowerClean DNA Cleanup Kit","16S","515FB","806RB","Parada et al., 2014; Apprill et al., 2015","Yes","single step","Platinum Hot-Start PCR Masterix 2X",35,50,"Earth Microbiome protocol","Yes","No","HAW.24B.BS"
