"term","estimate","std.error","statistic","p.value","Model","R.Squared","Adjusted.R.Squared"
"(Intercept)",11277.3551283533,629.028864339127,17.9281997499455,8.76105032805828e-44,"SST_model_N0",0.442073582548677,0.428398915454282
"Mean_SE_Score",-3139.28291472165,936.972155040023,-3.35045486446453,0.000961152575326731,"SST_model_N0",0.442073582548677,0.428398915454282
"sampleSizeFractionation500",-4393.23947944224,888.296908167165,-4.94568813540831,1.58251337390019e-06,"SST_model_N0",0.442073582548677,0.428398915454282
"sampleSizeFractionationsessile",-5379.76544705936,833.962378766546,-6.45084908388336,7.92267642178671e-10,"SST_model_N0",0.442073582548677,0.428398915454282
"Mean_SE_Score:sampleSizeFractionation500",1970.57622781864,1315.77199697119,1.49765782548554,0.13576786240699,"SST_model_N0",0.442073582548677,0.428398915454282
"Mean_SE_Score:sampleSizeFractionationsessile",2578.50583052607,1243.63301321964,2.0733655371938,0.0393943452436065,"SST_model_N0",0.442073582548677,0.428398915454282
"(Intercept)",2849.64202214828,246.603405654285,11.555566374226,4.35574832076169e-24,"SST_model_N1",0.53340864780198,0.521972585248107
"Mean_SE_Score",-385.638048810228,367.328969361147,-1.04984382114191,0.295032034167385,"SST_model_N1",0.53340864780198,0.521972585248107
"sampleSizeFractionation500",-1723.59707574267,348.246408400259,-4.94936066580089,1.55609411280878e-06,"SST_model_N1",0.53340864780198,0.521972585248107
"sampleSizeFractionationsessile",-1857.21674118539,326.945191946714,-5.68051400336262,4.58561659145772e-08,"SST_model_N1",0.53340864780198,0.521972585248107
"Mean_SE_Score:sampleSizeFractionation500",96.5446077392306,515.833014846681,0.187162521514693,0.851719220849814,"SST_model_N1",0.53340864780198,0.521972585248107
"Mean_SE_Score:sampleSizeFractionationsessile",115.927388074624,487.551770404484,0.237774519777557,0.812294622610633,"SST_model_N1",0.53340864780198,0.521972585248107
"(Intercept)",660.20345587806,78.6082757398046,8.3986507739128,7.59832956464066e-15,"SST_model_N2",0.39494303521296,0.38011320764465
"Mean_SE_Score",-131.859438075735,117.091233327246,-1.12612562297653,0.261435368814003,"SST_model_N2",0.39494303521296,0.38011320764465
"sampleSizeFractionation500",-511.63736643851,111.008400813821,-4.6089968208497,7.12637649928698e-06,"SST_model_N2",0.39494303521296,0.38011320764465
"sampleSizeFractionationsessile",-493.918929825116,104.218340911238,-4.73927070328037,4.01772526782226e-06,"SST_model_N2",0.39494303521296,0.38011320764465
"Mean_SE_Score:sampleSizeFractionation500",148.307965167228,164.428969499343,0.901957639330828,0.368143050071146,"SST_model_N2",0.39494303521296,0.38011320764465
"Mean_SE_Score:sampleSizeFractionationsessile",126.454822191025,155.413928302006,0.813664666819912,0.416785765826348,"SST_model_N2",0.39494303521296,0.38011320764465
